topurl	frequency
http://t.co/3vkPwuwiOp	4
http://t.co/3zo7GC5VnM	4
http://t.co/4	4
http://t.co/4dLFQzOogK	4
http://t.co/4EyuAsI7pF	4
http://t.co/4qmp9D2tz7	4
http://t.co/4QyICLHJmR	4
http://t.co/4YXUGoNZm9	4
http://t.co/5ZzmBWDtbN	4
http://t.co/89	4
http://t.co/8MUp8fScqy	4
http://t.co/8uYkW3Mbaq	4
http://t.co/9jXxJ3vP2Z	4
http://t.co/9N9BK8WJr2	4
http://t.co/azALyFSXmT	4
http://t.co/bAimwPsRGH	4
http://t.co/bCLV149gi5<	4
http://t.co/bET1R8y8aO	4
http://t.co/bpS6Ulv31G	4
http://t.co/BYF3CO1VN1	4
http://t.co/c7SvSe2V7b	4
http://t.co/CO38fkMrX6	4
http://t.co/D1EPfpD1Mo	4
http://t.co/DSmUZWtga5	4
http://t.co/e6Q97wX34w	4
http://t.co/EdNO9cdOJt.	4
http://t.co/Eez6GRhvNI	4
http://t.co/eY	4
http://t.co/FAmCLCPru3	4
http://t.co/fDGfj2o65a	4
http://t.co/fdie2SSPbX	4
http://t.co/FUXbFnoCpO	4
http://t.co/g0sFSdd26u	4
http://t.co/GUmv3CLrhI	4
http://t.co/hMBHttjB4v	4
http://t.co/IBOsYgASfA	4
http://t.co/j8Qo5bELGn	4
http://t.co/jIUzJ2zGGB	4
http://t.co/JrHGZ8T6iT	4
http://t.co/jsyFobIv6e	4
http://t.co/jtmM2j	4
http://t.co/jyRnmO1cUm	4
http://t.co/K5mwfdv6Se	4
http://t.co/kuiQOLI3oO	4
http://t.co/m0jOOW1pPo	4
http://t.co/maQ9rg0ITH	4
http://t.co/mBCfvIfQsE	4
http://t.co/Mf5XW5IXu3	4
http://t.co/NsoomJ2Vd7	4
http://t.co/NVWlytQKFS	4
http://t.co/Oao55Fs4gm	4
http://t.co/oWLfdPyt0y	4
http://t.co/oyiNxOU9wr	4
http://t.co/P5AUEG	4
http://t.co/pso7c94owE	4
http://t.co/q1x8W3xhcK	4
http://t.co/qdQs	4
http://t.co/qI00dHSNy4	4
http://t.co/qUpAlDSotR	4
http://t.co/Qx9MVJs1cq	4
http://t.co/SH1pkxTXyW	4
http://t.co/SmEUYEhmZC	4
http://t.co/Ss351OzIvo	4
http://t.co/suRHGSHf1C	4
http://t.co/T	4
http://t.co/t1STlbIh	4
http://t.co/TbLxTCMiA1	4
http://t.co/TBux4DyUjM	4
http://t.co/tORDE2phz2	4
http://t.co/tSq9tvP9g0	4
http://t.co/u0bu5eLQ	4
http://t.co/u6Ogrb2Csu	4
http://t.co/u7	4
http://t.co/uOkvkCRaSI	4
http://t.co/uPpe6qjFVH	4
http://t.co/VQkDpaq1X1	4
http://t.co/vwjz6Yrp7Y	4
http://t.co/W4343oV8O7	4
http://t.co/xK1bHxQm2c	4
http://t.co/XpdrnRACrW	4
http://t.co/Xv1y8wJtCN	4
http://t.co/y5Vw	4
http://t.co/Yc1CbHjyEc	4
http://t.co/yGXF8KazgR	4
http://t.co/YLYPj14bDL	4
http://t.co/ZLiibxljSk	4
https://t.co/1o	4
https://t.co/B1HQOdTGIT	4
https://t.co/gPXb57HIhr	4
https://t.co/hK1AvWuIuz	4
https://t.co/hsaWChhK3m	4
https://t.co/PtiSJiks2U	4
https://t.co/t6XEb8SSYa	4
https://t.co/X6LYitFWGV	4
http://t.co/0GoZ2GwChS	3
http://t.co/0Q1MiMyg0l	3
http://t.co/0tWn6jOWcq	3
http://t.co/1QQFrXRuOg	3
http://t.co/1XSSg6iwpj	3
http://t.co/2D7R6mE6kS	3
http://t.co/2EYmyqqMpW	3
http://t.co/2s4iR8dopc	3
http://t.co/2y0zzqzH	3
http://t.co/3DN4TvtyuW	3
http://t.co/3hzEuYEOJw	3
http://t.co/4e	3
http://t.co/4i9KYAtTEq	3
http://t.co/4P820zGmGF	3
http://t.co/5jGMU5cWCX	3
http://t.co/5NttWxPpiN	3
http://t.co/6sHpVSWwtM	3
http://t.co/7FOydYH0fh	3
http://t.co/7RmHYisASH	3
http://t.co/8bEfzS7jGn	3
http://t.co/8XXQp8uleu	3
http://t.co/98lLb7QVqU	3
http://t.co/9FpnjIdbQ2	3
http://t.co/9hlNBT2Jo4	3
http://t.co/A0xl9p7xpX	3
http://t.co/A5yWmzPuXo	3
http://t.co/A7yHNzIkTc	3
http://t.co/AaZj9MpHpS	3
http://t.co/aeE7Fk39PL	3
http://t.co/aiCJa65SSM	3
http://t.co/ak4JanxcNR	3
http://t.co/AXMkiDybbv	3
http://t.co/AYLzEzK63q	3
http://t.co/bBs18OfkB2	3
http://t.co/BgyLW26KiP	3
http://t.co/bS0209SKE1	3
http://t.co/bwi22KIfng	3
http://t.co/CffYqfxNyP	3
http://t.co/cJbUNIuvg5	3
http://t.co/CLtQnZjVPc	3
http://t.co/ddY	3
http://t.co/DE4jnadizb	3
http://t.co/dPBsMJ1X4Z	3
http://t.co/dSxOvz2zvO	3
http://t.co/DtGTzAv10X	3
http://t.co/e9NIgOXuK0	3
http://t.co/eBK3VV2Ksr	3
http://t.co/eDMJIOBmwH	3
http://t.co/F8fyM86XeC	3
http://t.co/fbeZDwyqFG	3
http://t.co/FmT0quDGAF	3
http://t.co/fN80uHDM74	3
http://t.co/fT4sxncyLe	3
http://t.co/fwtdV4av7Y	3
http://t.co/fxNrJto9j1	3
http://t.co/gBYfIZrxPY	3
http://t.co/GdQ0DrMdG1	3
http://t.co/gghNcxeoVm	3
http://t.co/guf7I	3
http://t.co/HFbEHG6pIl	3
http://t.co/hfdBzATlEX	3
http://t.co/hJajr5PvX3	3
http://t.co/HJo15MnveR	3
http://t.co/HqBbAhVAkS	3
http://t.co/HS7oEwq82U	3
http://t.co/i5ADKz0Jjb	3
http://t.co/I70tB71Z0I	3
http://t.co/i89QmK8QPE	3
http://t.co/IcxMcdSCAX	3
http://t.co/ignaGjr1tc	3
http://t.co/IYvO1InCRe	3
http://t.co/J1Fc2oklxe	3
http://t.co/J2jgFaEZY9	3
http://t.co/j8pBDKeAsB	3
http://t.co/jaDip8sXJy	3
http://t.co/JdLsQWxHek	3
http://t.co/JDrEvyDgQH	3
http://t.co/JETS4tq6c9	3
http://t.co/jgBB0UrKVK	3
http://t.co/jHUfDpweWr	3
http://t.co/JoOonoHWvs	3
http://t.co/jSb2GhPYwW	3
http://t.co/JTdQPAvuHU	3
http://t.co/JWc5WEQTbK	3
http://t.co/k13agYKh7r	3
http://t.co/K8Mc2n0DGs	3
http://t.co/kEofqHRPer	3
http://t.co/kHGK4xCUo7	3
http://t.co/kuCc9wH6Cp	3
http://t.co/kX9TvvF1Z0	3
http://t.co/lYnBeICZiJ	3
http://t.co/M2pif1Bm45	3
http://t.co/M9UlWgXrlk	3
http://t.co/mjzuXQhgmJ	3
http://t.co/mkLjmkt96f	3
http://t.co/mlXnPvXgK6	3
http://t.co/mQ8XYXOb6T	3
http://t.co/mRAnK9Lqb5	3
http://t.co/MsXivsUD1C	3
http://t.co/MtljorMq6f	3
http://t.co/mUGas8zUpK	3
http://t.co/mzOlZqiA2w	3
http://t.co/N5wBUwGtRq	3
http://t.co/NGDl	3
http://t.co/nlUORYMUGH	3
http://t.co/o	3
http://t.co/OalbhEsYdf	3
http://t.co/Od8j0nlKo7	3
http://t.co/OKyPM3odIS	3
http://t.co/OVdrpDBeT4	3
http://t.co/P	3
http://t.co/phyyUTYV2X	3
http://t.co/PjhR1Oia	3
http://t.co/PJyxnEr0FO	3
http://t.co/PNpS1ClPU5	3
http://t.co/PRoJTbLxO7	3
http://t.co/pYFvA	3
http://t.co/qapiGw9X1w	3
http://t.co/Qwhi47UoDW	3
http://t.co/raIDCLCfL9	3
http://t.co/rBKjEy2Vkf	3
http://t.co/RD7YiMl9rj	3
http://t.co/Ri5tyvkQ0w	3
http://t.co/rJfwiXFJQl	3
http://t.co/SFvU5Dg7NO	3
http://t.co/sJQ7nbKEIw	3
http://t.co/sKZOzImEGa	3
http://t.co/StZdsODmFn	3
http://t.co/t50TaKNlVT	3
http://t.co/t8Fsu0WmDE	3
http://t.co/TI9MDJZ24S	3
http://t.co/tmd1d7yfKM	3
http://t.co/TPMGegFe2F	3
http://t.co/TUnzLWk0z8	3
http://t.co/tVWDWyCQyi	3
http://t.co/u1erHbGGce	3
http://t.co/u3IPwBBzVi	3
http://t.co/u6sxh	3
http://t.co/uElMJt3Q1V	3
http://t.co/UHqZC	3
http://t.co/uowQA467	3
http://t.co/uwns7WU3Bc	3
http://t.co/UZYF5vpHgh	3
http://t.co/V0Cyz8NP7a	3
http://t.co/v41tJkZe7M	3
http://t.co/v81VOeRhoL	3
http://t.co/vBUZAJ0Nnl	3
http://t.co/VNbHFnJzJ2	3
http://t.co/w6KDj1w3VD	3
http://t.co/W6zNOLhbh9	3
http://t.co/Wcz7RqJ7tR	3
http://t.co/wjFVZLZlA0	3
http://t.co/WkiYNbC6hl	3
http://t.co/wqlV3CktCA	3
http://t.co/WUCfqMImH6	3
http://t.co/Wxqe7IbMEM	3
http://t.co/wyLbQOJ63t	3
http://t.co/xJ1frgYxKb	3
http://t.co/xjjBIMzDny	3
http://t.co/XqWUSMTANa	3
http://t.co/xWwpX	3
http://t.co/yBaE4x39TM	3
http://t.co/yC4YO09cjd	3
http://t.co/yfn0sxx5Hj	3
http://t.co/YHkWyopDOl	3
http://t.co/YJJb0pVJVr	3
http://t.co/yMurSeofjJ	3
http://t.co/YtAa4Rmd44	3
http://t.co/YVpOBlk38u	3
http://t.co/yxk7HlqVfC	3
http://t.co/z7cPKN9wa1	3
http://t.co/ZC5IWki2Bm	3
http://t.co/Zdxva77Mho	3
http://t.co/zf3budZuO9	3
http://t.co/zfjf8hOc25	3
http://t.co/zRuJg6eCjC	3
http://t.co/ZSnNZIZpFr	3
https://t.co/5cp5gH5SGY	3
https://t.co/Ei	3
https://t.co/gF2YivUXy9	3
https://t.co/gMlg3mbPu1	3
https://t.co/H	3
https://t.co/Ig	3
https://t.co/JNBVEKixlF	3
https://t.co/Lzhg0h7iCk	3
https://t.co/nR1EWUg3gU	3
https://t.co/OgpB2hdlY4	3
https://t.co/qSgur8NYiJ	3
https://t.co/S29	3
https://t.co/SddUvKocXe	3
https://t.co/SOBWbITray	3
https://t.co/tzY1SlU6qM	3
https://t.co/VeG0QsGD9x	3
http://t.co/0D7tPMakUG	2
http://t.co/0GNHFR0vRX	2
http://t.co/0i17pndycG	2
http://t.co/0LHXqkRKRd	2
http://t.co/0PfMcpO9C6	2
http://t.co/0pK7Zzf239	2
http://t.co/1g2UCNB8iU	2
http://t.co/1hqpa07qJx	2
