LINK,ANNO,AMBIENTE (BLOG/NEWS/SITI DI PRIVATI/ENTI PUBBLICI/ACADEMIC/SOCIAL/WIKI)
http://www.ip-watch.org/2014/07/04/the-european-right-to-be-forgotten-might-be-a-pandoras-box/,2014,BLOG INTERNET
http://www.rpc.co.uk/index.php?option=com_easyblog&view=entry&id=1121&Itemid=107,2014,BLOG LAWYER
http://www.mateobuenoabogado.com/index.php/noticias/62-mario-costeja-gonzalez-un-quijote-que-ha-vencido-a-google,2014,BLOG LAWYER
https://netzpolitik.org/2014/kommentar-zum-eugh-urteil-das-gericht-hat-recht-aber-das-ergebnis-ist-falsch/,2014,BLOG LAWYER
http://notizie.tiscali.it/articoli/cronaca/14/05/13/corte-eu-motore-ricerca-responsanile-dati-123.html?cronaca,2014,NEWS
http://www.theglobeandmail.com/globe-debate/editorials/forget-me-but-dont-forget-to-protect-privacy-in-the-first-place/article19572676/,2014,NEWS
http://miedzynarodoweprawohandlowe.wordpress.com/2014/07/31/jak-zniknac-w-sieci-echa-wyroku-ets-z-13-maja-2014-r-w-sprawie-google-spain-v-aepd-i-mario-costeja-gonzalez/,2014,NEWS
http://news.yahoo.com/google-rates-internet-providers-video-streaming-quality-170528767--sector.html,2014,NEWS
http://jog.mandiner.hu/tag/mario_costeja_gonzalez/,2014,BLOG LAWYER
http://www.wired.co.uk/news/archive/2014-05/15/tags/mario-costeja-gonzalez,2014,NEWS
http://www.dmlp.org/blog/2014/will-eu-courts-privacy-ruling-break-internet,2014,BLOG INTERNET
http://notizie.tiscali.it/articoli/cronaca/14/05/13/corte-eu-motore-ricerca-responsanile-dati-123.html?cronaca,2014,NEWS
http://www.pcpro.co.uk/other/1000127/what-is-the-right-to-be-forgotten,2014,NEWS
https://cdt.org/blog/no-right-to-be-forgotten-says-the-eu%E2%80%99s-advocate-general/,2014,BLOG LAWYER
http://beltrangambieryelicam.blogspot.it/2014/05/analisis-del-caso-google-contra-agencia.html,2014,BLOG
http://www.laregion.es/articulo/espanha/mario-costeja-google-era-gran-herramienta-y-ahora-perfecta/20140513152045467811.html,2014,NEWS
http://ltaonline.wordpress.com/2014/06/05/chi-controlla-i-controllori-leuropa-google-e-il-diritto-alloblio/,2014,NEWS
http://blog.historians.org/2014/06/historians-potential-consequences-right-forgotten-ruling/,2014,BLOG
http://www.portolano.it/2013/06/,2013,BLOG LAWYER
http://www.juwiss.de/64-2014/,2014,BLOG LAWYER
http://news.yahoo.com/google-rates-internet-providers-video-streaming-quality-170528767--sector.html,2014,NEWS
http://www.hamlins.co.uk/wp-content/uploads/2014/09/World-Data-Protection-Report-Emma-Sheldon.pdf,2014,BLOG LAWYER
http://www.ibanet.org/Article/Detail.aspx?ArticleUid=0d7cae7f-89ca-42da-b744-0a6771d5dbcf,2014,BLOG LAWYER
http://www.bloomberg.com/news/2014-06-26/google-removes-search-results-in-wake-of-eu-privacy-case.html,2014,NEWS
http://www.osservatoriosullefonti.it/rubriche/fonti-comunitarie-e-internazionali/962-ue-corte-di-giustizia-causa-c-13112-google-spain,2014,BLOG LAWYER
http://www.cnpd.pt/bin/legis/juris/decisoes/20140513_TJUE_motoresBusca.pdf,2014,ENTI PUBBLICI
http://www.pcworld.com/article/2154281/europes-top-court-orders-google-to-forget.html,2014,NEWS
http://www.georgehwangllc.com/news-140701.html#sthash.b8pYddH5.dpbs,2014,BLOG LAWYER
http://reason.com/archives/2014/05/21/the-expurgated-internet,2014,BLOG
https://www.facebook.com/theguardian/posts/10152427567271323,2014,SOCIAL
http://blogs.lexisnexis.co.uk/wipit/right-to-be-forgotten-further/,2014,BLOG LAWYER
http://www.complianceweek.com/blogs/global-glimpses/eu-court-affirms-right-to-be-forgotten-in-landmark-data-privacy-case#.VKw0lSuG8tQ,2014,BLOG INTERNET
http://www.techeconomy.it/2014/06/11/diritto-alloblio-successo-quali-i-nodi-irrisolti/,2014,NEWS
http://www.epravo.cz/top/clanky/vybrane-prakticke-dopady-rozhodnuti-google-spain-sl-google-inc-vs-agencia-espaola-de-proteccion-de-datos-aepd-mario-costeja-gonzalez1-95363.html,2014,NEWS
http://www.aleagostini.com/diritto-all-oblio-online-21082014.html,2014,BLOG
http://www.portolano.it/pcc_newsletters/motori-di-ricerca-e-diritto-alloblio-corte-di-giustizia-nel-caso-google-spain/,2014,NEWS
http://www.euractiv.it/it/news/norme/7336-corte-di-giustizia-google-e-privacy-sentenza-in-arrivo.html,2013,BLOG LAWYER
http://www.diplomacy.edu/blog/what-european-court-justice-telling-us-google-case,2014,BLOG LAWYER
https://cdt.org/blog/no-right-to-be-forgotten-says-the-eu%E2%80%99s-advocate-general/,2013,BLOG LAWYER
http://www.filodiritto.com/news/2014/la-corte-di-giustizia-dellunione-europea-riconosce-il-diritto-alloblio-nei-confronti-del-motore-di-ricerca-di-google.html,2014,BLOG LAWYER
http://veja.abril.com.br/noticia/vida-digital/decisao-da-justica-europeia-abre-precedentes-para-censura-afirmam-criticos,2014,NEWS
http://web.docuticker.com/go/docubase/72050,2014,NEWS
http://www.questionegiustizia.it/articolo/oblio-o-rimozione-ovvero-la-memoria-ferita_16-07-2014.php,2014,BLOG LAWYER
http://www.plurale.net/siamo-sicuri-che-il-diritto-alloblio-non-sia-invece-una-stupidaggine/,2014,BLOG
http://www.opensocietyfoundations.org/voices/whats-wrong-erasing-information-web,2014,BLOG INTERNET
http://www.dorsey.com/eu-european-union-search-engine-privacy/,2014,BLOG LAWYER
http://www.epravo.cz/top/clanky/vybrane-prakticke-dopady-rozhodnuti-google-spain-sl-google-inc-vs-agencia-espaola-de-proteccion-de-datos-aepd-mario-costeja-gonzalez1-95363.html,2014,NEWS
http://tn.com.ar/personajes/mario-costeja-gonzalez,2014,NEWS
http://www.itproportal.com/2014/05/14/a-closer-look-at-the-eus-ruling-over-google-and-the-right-to-be-forgotten-privacy-issue/,2014,BLOG INTERNET
http://tn.com.ar/personajes/mario-costeja-gonzalez,2014,NEWS
http://sociedad.elpais.com/sociedad/2013/06/25/vidayartes/1372189102_695246.html,2013,news
http://www.telegraph.co.uk/technology/google/10834651/Ex-MP-asks-Google-for-right-to-be-forgotten.html,2014,news
http://florina-vevera.com/2014/05/19/google-spain-sl-google-inc-v-agencia-espanola-de-proteccion-de-datos-mario-costeja-gonzalez/,2014,blog
http://curia.europa.eu/juris/document/document.jsf?docid=123131&doclang=PL,2012,enti pubblici
http://curia.europa.eu/juris/document/document.jsf?docid=152065&doclang=IT,2014,enti pubblici
